dwaCode	title	fileName	action	object	iwaCode	iwaTitle	workActivityCode	workActivityName	taskMappings
4.A.1.a.1.I01.D01	Review art or design materials.	ReviewArtDesignMaterials	Review	Art Design Materials	4.A.1.a.1.I01	Study details of artistic productions	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I01.D02	Study details of musical compositions.	StudyDetailsMusicalCompositions	Study	Details Musical Compositions	4.A.1.a.1.I01	Study details of artistic productions	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I01.D03	Review production information to determine costume or makeup requirements.	ReviewProductionInformationDetermineCostume	Review	Production Information Determine Costume	4.A.1.a.1.I01	Study details of artistic productions	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I01.D04	Study scripts to determine project requirements.	StudyScriptsDetermineProjectRequirements	Study	Scripts Determine Project Requirements	4.A.1.a.1.I01	Study details of artistic productions	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I01.D05	Review audio or video recordings.	ReviewAudioVideoRecordings	Review	Audio Video Recordings	4.A.1.a.1.I01	Study details of artistic productions	4.A.1.a.1	Getting Information	1
4.A.1.a.1.I02.D01	Read materials to determine needed actions.	ReadMaterialsDetermineNeededActions	Read	Materials Determine Needed Actions	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I02.D02	Read maps to determine routes.	ReadMapsDetermineRoutes	Read	Maps Determine Routes	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I02.D03	Review customer information.	ReviewCustomerInformation	Review	Customer Information	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	3
4.A.1.a.1.I02.D04	Read work orders or other instructions to determine product specifications or materials requirements.	ReadWorkOrdersInstructionsDetermine	Read	Work Orders Instructions Determine	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	38
4.A.1.a.1.I02.D05	Read technical information needed to perform maintenance or repairs.	ReadTechnicalInformationNeededPerform	Read	Technical Information Needed Perform	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	13
4.A.1.a.1.I02.D06	Study blueprints or other instructions to determine equipment setup requirements.	StudyBlueprintsInstructionsDetermineEquipment	Study	Blueprints Instructions Determine Equipment	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	23
4.A.1.a.1.I02.D07	Read documents to gather technical information.	ReadDocumentsGatherTechnicalInformation	Read	Documents Gather Technical Information	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	10
4.A.1.a.1.I02.D08	Review technical documents to plan work.	ReviewTechnicalDocumentsPlanWork	Review	Technical Documents Plan Work	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	21
4.A.1.a.1.I02.D09	Review blueprints or specifications to determine work requirements.	ReviewBlueprintsSpecificationsDetermineWork	Review	Blueprints Specifications Determine Work	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	23
4.A.1.a.1.I02.D10	Review work orders or schedules to determine operations or procedures.	ReviewWorkOrdersSchedulesDetermine	Review	Work Orders Schedules Determine	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	16
