dwaCode	title	action	object	iwaCode	workActivityCode
4.A.1.a.1.I01.D01	Review art or design materials.	Review	Art Design Materials	4.A.1.a.1.I01	4.A.1.a.1
4.A.1.a.1.I01.D02	Study details of musical compositions.	Study	Details Musical Compositions	4.A.1.a.1.I01	4.A.1.a.1
4.A.1.a.1.I01.D03	Review production information to determine costume or makeup requirements.	Review	Production Information Determine Costume	4.A.1.a.1.I01	4.A.1.a.1
4.A.1.a.1.I01.D04	Study scripts to determine project requirements.	Study	Scripts Determine Project Requirements	4.A.1.a.1.I01	4.A.1.a.1
4.A.1.a.1.I01.D05	Review audio or video recordings.	Review	Audio Video Recordings	4.A.1.a.1.I01	4.A.1.a.1
4.A.1.a.1.I02.D01	Read materials to determine needed actions.	Read	Materials Determine Needed Actions	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D02	Read maps to determine routes.	Read	Maps Determine Routes	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D03	Review customer information.	Review	Customer Information	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D04	Read work orders or other instructions to determine product specifications or materials requirements.	Read	Work Orders Instructions Determine	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D05	Read technical information needed to perform maintenance or repairs.	Read	Technical Information Needed Perform	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D06	Study blueprints or other instructions to determine equipment setup requirements.	Study	Blueprints Instructions Determine Equipment	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D07	Read documents to gather technical information.	Read	Documents Gather Technical Information	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D08	Review technical documents to plan work.	Review	Technical Documents Plan Work	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D09	Review blueprints or specifications to determine work requirements.	Review	Blueprints Specifications Determine Work	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D10	Review work orders or schedules to determine operations or procedures.	Review	Work Orders Schedules Determine	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D11	Review blueprints or other instructions to determine operational methods or sequences.	Review	Blueprints Instructions Determine Operational	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D12	Evaluate reports or designs to determine work needs.	Evaluate	Reports Designs Determine Work	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D13	Read work orders or descriptions of problems to determine repairs or modifications needed.	Read	Work Orders Descriptions Problems	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D14	Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.	Interpret	Blueprints Specifications Diagrams Inform	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D15	Review details of technical drawings or specifications.	Review	Details Technical Drawings Specifications	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I02.D16	Read work orders to determine material or setup requirements.	Read	Work Orders Determine Material	4.A.1.a.1.I02	4.A.1.a.1
4.A.1.a.1.I03.D01	Collect evidence for legal proceedings.	Collect	Evidence Legal Proceedings	4.A.1.a.1.I03	4.A.1.a.1
4.A.1.a.1.I03.D02	Examine crime scenes to obtain evidence.	Examine	Crime Scenes Obtain Evidence	4.A.1.a.1.I03	4.A.1.a.1
4.A.1.a.1.I03.D03	Investigate crimes committed within organizations.	Investigate	Crimes Committed Within Organizations	4.A.1.a.1.I03	4.A.1.a.1
4.A.1.a.1.I03.D04	Investigate legal issues.	Investigate	Legal Issues	4.A.1.a.1.I03	4.A.1.a.1
4.A.1.a.1.I03.D05	Examine records or other types of data to investigate criminal activities.	Examine	Records Types Data Investigate	4.A.1.a.1.I03	4.A.1.a.1
4.A.1.a.1.I03.D06	Conduct hearings to investigate legal issues.	Conduct	Hearings Investigate Legal Issues	4.A.1.a.1.I03	4.A.1.a.1
4.A.1.a.1.I03.D07	Investigate illegal or suspicious activities.	Investigate	Illegal Suspicious Activities	4.A.1.a.1.I03	4.A.1.a.1
4.A.1.a.1.I04.D01	Obtain property information.	Obtain	Property Information	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I04.D02	Use databases to locate investigation details or other information.	Use	Databases Locate Investigation Details	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I04.D03	Search information sources to find specific data.	Search	Information Sources Find Specific	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I04.D04	Gather financial records.	Gather	Financial Records	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I04.D05	Retrieve information from electronic sources.	Retrieve	Information Electronic Sources	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I04.D06	Gather information in order to provide services to clients.	Gather	Information Order Provide Services	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I04.D07	Search files, databases or reference materials to obtain needed information.	Search	Files Databases Reference Materials	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I04.D08	Collect archival data.	Collect	Archival Data	4.A.1.a.1.I04	4.A.1.a.1
4.A.1.a.1.I05.D01	Evaluate information related to legal matters in public or personal records.	Evaluate	Information Related Legal Matters	4.A.1.a.1.I05	4.A.1.a.1
4.A.1.a.1.I05.D02	Research relevant legal materials to aid decision making.	Research	Relevant Legal Materials Aid	4.A.1.a.1.I05	4.A.1.a.1
4.A.1.a.1.I06.D01	Gather organizational performance information.	Gather	Organizational Performance Information	4.A.1.a.1.I06	4.A.1.a.1
4.A.1.a.1.I06.D02	Gather information about work conditions or locations.	Gather	Information About Work Conditions	4.A.1.a.1.I06	4.A.1.a.1
4.A.1.a.1.I06.D03	Gather physical survey data.	Gather	Physical Survey Data	4.A.1.a.1.I06	4.A.1.a.1
4.A.1.a.1.I06.D04	Collect data about project sites.	Collect	Data About Project Sites	4.A.1.a.1.I06	4.A.1.a.1
4.A.1.a.1.I07.D01	Obtain information about goods or services.	Obtain	Information About Goods Services	4.A.1.a.1.I07	4.A.1.a.1
4.A.1.a.1.I08.D01	Research hydrologic features or processes.	Research	Hydrologic Features Processes	4.A.1.a.1.I08	4.A.1.a.1
4.A.1.a.1.I08.D02	Research geological features or processes.	Research	Geological Features Processes	4.A.1.a.1.I08	4.A.1.a.1
