dwaCode	title	action	object	iwaCode	workActivityCode
4.A.1.b.1.I01.D05	Label production materials.	Label	Production Materials	4.A.1.b.1.I01	4.A.1.b.1
4.A.1.b.1.I01.D06	Attach identification information to products, items or containers.	Attach	Identification Information Products Items	4.A.1.b.1.I01	4.A.1.b.1
4.A.1.b.1.I02.D01	Identify opportunities for green initiatives.	Identify	Opportunities Green Initiatives	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.1.I02.D02	Identify potential customers.	Identify	Potential Customers	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.1.I02.D03	Identify investment opportunities or strategies.	Identify	Investment Opportunities Strategies	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.1.I02.D04	Identify strategic business investment opportunities.	Identify	Strategic Business Investment Opportunities	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.1.I02.D05	Identify new applications for existing technologies.	Identify	New Applications Existing Technologies	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.1.I02.D06	Identify opportunities to improve operational efficiency.	Identify	Opportunities Improve Operational Efficiency	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.1.I02.D07	Identify sustainable business practices.	Identify	Sustainable Business Practices	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.1.I02.D08	Identify job or employment opportunities.	Identify	Job Employment Opportunities	4.A.1.b.1.I02	4.A.1.b.1
4.A.1.b.2.I01.D01	Test patient heart or lung functioning.	Test	Patient Heart Lung Functioning	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I01.D02	Administer screening tests to determine abilities or treatment needs.	Administer	Screening Tests Determine Abilities	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I01.D03	Test patient hearing.	Test	Patient Hearing	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I01.D04	Test patient vision.	Test	Patient Vision	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I01.D05	Conduct diagnostic tests to determine patient health.	Conduct	Diagnostic Tests Determine Patient	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I01.D06	Administer drug screening tests.	Administer	Drug Screening Tests	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I01.D07	Test patient nervous system functioning.	Test	Patient Nervous System Functioning	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I01.D08	Test biological specimens to gather information about patient conditions.	Test	Biological Specimens Gather Information	4.A.1.b.2.I01	4.A.1.b.2
4.A.1.b.2.I02.D01	Test green technologies or processes.	Test	Green Technologies Processes	4.A.1.b.2.I02	4.A.1.b.2
4.A.1.b.2.I02.D02	Test green technology installations to verify performance.	Test	Green Technology Installations Verify	4.A.1.b.2.I02	4.A.1.b.2
4.A.1.b.2.I03.D01	Test materials, solutions, or samples.	Test	Materials Solutions Samples	4.A.1.b.2.I03	4.A.1.b.2
4.A.1.b.2.I03.D02	Test products for functionality or quality.	Test	Products Functionality Quality	4.A.1.b.2.I03	4.A.1.b.2
