dwaCode	title	action	object	iwaCode	workActivityCode
4.A.2.a.2.I02.D03	Sort recyclable materials.	Sort	Recyclable Materials	4.A.2.a.2.I02	4.A.2.a.2
4.A.2.a.2.I02.D04	Sort forestry or agricultural materials.	Sort	Forestry Agricultural Materials	4.A.2.a.2.I02	4.A.2.a.2
4.A.2.a.2.I02.D05	Sort materials or products for processing, storing, shipping, or grading.	Sort	Materials Products Processing Storing	4.A.2.a.2.I02	4.A.2.a.2
4.A.2.a.2.I02.D06	Sort materials or products.	Sort	Materials Products	4.A.2.a.2.I02	4.A.2.a.2
4.A.2.a.2.I03.D01	Compile operational data.	Compile	Operational Data	4.A.2.a.2.I03	4.A.2.a.2
4.A.2.a.2.I03.D02	Compile technical information or documentation.	Compile	Technical Information Documentation	4.A.2.a.2.I03	4.A.2.a.2
4.A.2.a.2.I03.D03	Compile data or documentation.	Compile	Data Documentation	4.A.2.a.2.I03	4.A.2.a.2
4.A.2.a.2.I03.D04	Compile specialized bibliographies or lists of materials.	Compile	Specialized Bibliographies Lists Materials	4.A.2.a.2.I03	4.A.2.a.2
4.A.2.a.2.I03.D05	Compile environmental or climatological data.	Compile	Environmental Climatological Data	4.A.2.a.2.I03	4.A.2.a.2
4.A.2.a.2.I03.D06	Compile geographic or related data.	Compile	Geographic Related Data	4.A.2.a.2.I03	4.A.2.a.2
4.A.2.a.2.I04.D01	Reconcile records of sales or other financial transactions.	Reconcile	Records Sales Financial Transactions	4.A.2.a.2.I04	4.A.2.a.2
4.A.2.a.2.I04.D02	Balance receipts.	Balance	Receipts	4.A.2.a.2.I04	4.A.2.a.2
4.A.2.a.2.I04.D03	Prepare cash for deposit or disbursement.	Prepare	Cash Deposit Disbursement	4.A.2.a.2.I04	4.A.2.a.2
4.A.2.a.2.I05.D01	Examine personal documentation to ensure that it is valid.	Examine	Personal Documentation Ensure It	4.A.2.a.2.I05	4.A.2.a.2
4.A.2.a.2.I05.D02	Verify employee information.	Verify	Employee Information	4.A.2.a.2.I05	4.A.2.a.2
4.A.2.a.2.I05.D03	Verify application data to determine program eligibility.	Verify	Application Data Determine Program	4.A.2.a.2.I05	4.A.2.a.2
4.A.2.a.2.I05.D04	Verify accuracy of patient information.	Verify	Accuracy Patient Information	4.A.2.a.2.I05	4.A.2.a.2
