dwaCode	title	action	object	iwaCode	workActivityCode
4.A.2.b.2.I06.D01	Develop database parameters or specifications.	Develop	Database Parameters Specifications	4.A.2.b.2.I06	4.A.2.b.2
4.A.2.b.2.I06.D02	Develop technical or scientific databases.	Develop	Technical Scientific Databases	4.A.2.b.2.I06	4.A.2.b.2
4.A.2.b.2.I06.D03	Develop library or archival databases.	Develop	Library Archival Databases	4.A.2.b.2.I06	4.A.2.b.2
4.A.2.b.2.I06.D04	Create databases to store electronic data.	Create	Databases Store Electronic Data	4.A.2.b.2.I06	4.A.2.b.2
4.A.2.b.2.I07.D01	Determine design criteria or specifications.	Determine	Design Criteria Specifications	4.A.2.b.2.I07	4.A.2.b.2
4.A.2.b.2.I07.D02	Develop specifications for new products or processes.	Develop	Specifications New Products Processes	4.A.2.b.2.I07	4.A.2.b.2
4.A.2.b.2.I07.D03	Develop specifications or procedures for website development or maintenance.	Develop	Specifications Procedures Website Development	4.A.2.b.2.I07	4.A.2.b.2
4.A.2.b.2.I07.D04	Develop technical specifications for systems or equipment.	Develop	Technical Specifications Systems Equipment	4.A.2.b.2.I07	4.A.2.b.2
4.A.2.b.2.I07.D05	Develop specifications for computer network operation.	Develop	Specifications Computer Network Operation	4.A.2.b.2.I07	4.A.2.b.2
4.A.2.b.2.I07.D06	Determine operational criteria or specifications.	Determine	Operational Criteria Specifications	4.A.2.b.2.I07	4.A.2.b.2
4.A.2.b.2.I07.D07	Develop performance metrics or standards related to information technology.	Develop	Performance Metrics Standards Related	4.A.2.b.2.I07	4.A.2.b.2
4.A.2.b.2.I08.D01	Plan natural resources conservation or restoration programs.	Plan	Natural Resources Conservation Restoration	4.A.2.b.2.I08	4.A.2.b.2
4.A.2.b.2.I08.D02	Develop environmental remediation or protection plans.	Develop	Environmental Remediation Protection Plans	4.A.2.b.2.I08	4.A.2.b.2
4.A.2.b.2.I08.D03	Develop environmental sustainability plans or projects.	Develop	Environmental Sustainability Plans Projects	4.A.2.b.2.I08	4.A.2.b.2
4.A.2.b.2.I08.D04	Develop plans to manage natural or renewable resources.	Develop	Plans Manage Natural Renewable	4.A.2.b.2.I08	4.A.2.b.2
4.A.2.b.2.I09.D01	Develop financial plans for clients.	Develop	Financial Plans Clients	4.A.2.b.2.I09	4.A.2.b.2
4.A.2.b.2.I09.D02	Develop financial or business plans.	Develop	Financial Business Plans	4.A.2.b.2.I09	4.A.2.b.2
4.A.2.b.2.I10.D01	Develop health assessment methods or programs.	Develop	Health Assessment Methods Programs	4.A.2.b.2.I10	4.A.2.b.2
4.A.2.b.2.I10.D02	Develop tools to diagnose or assess needs.	Develop	Tools Diagnose Assess Needs	4.A.2.b.2.I10	4.A.2.b.2
4.A.2.b.2.I11.D01	Plan facility layouts or designs.	Plan	Facility Layouts Designs	4.A.2.b.2.I11	4.A.2.b.2
