dwaCode	title	action	object	iwaCode	workActivityCode
4.A.3.a.3.I07.D03	Operate biomass or biofuel production equipment.	Operate	Biomass Biofuel Production Equipment	4.A.3.a.3.I07	4.A.3.a.3
4.A.3.a.3.I07.D04	Operate green energy production equipment.	Operate	Green Energy Production Equipment	4.A.3.a.3.I07	4.A.3.a.3
4.A.3.a.3.I07.D05	Operate energy distribution equipment.	Operate	Energy Distribution Equipment	4.A.3.a.3.I07	4.A.3.a.3
4.A.3.a.3.I07.D06	Operate natural gas distribution equipment.	Operate	Natural Gas Distribution Equipment	4.A.3.a.3.I07	4.A.3.a.3
4.A.3.a.3.I08.D01	Operate forklifts or other loaders.	Operate	Forklifts Loaders	4.A.3.a.3.I08	4.A.3.a.3
4.A.3.a.3.I08.D02	Lift materials or workpieces using cranes or other lifting equipment.	Lift	Materials Workpieces Using Cranes	4.A.3.a.3.I08	4.A.3.a.3
4.A.3.a.3.I08.D03	Operate cranes, hoists, or other moving or lifting equipment.	Operate	Cranes Hoists Moving Lifting	4.A.3.a.3.I08	4.A.3.a.3
4.A.3.a.3.I09.D01	Operate laboratory or field equipment.	Operate	Laboratory Field Equipment	4.A.3.a.3.I09	4.A.3.a.3
4.A.3.a.3.I09.D02	Operate precision equipment to control microscopic or nanoscopic processes.	Operate	Precision Equipment Control Microscopic	4.A.3.a.3.I09	4.A.3.a.3
4.A.3.a.3.I09.D03	Operate laboratory equipment to analyze medical samples.	Operate	Laboratory Equipment Analyze Medical	4.A.3.a.3.I09	4.A.3.a.3
4.A.3.a.3.I10.D01	Operate communications equipment or systems.	Operate	Communications Equipment Systems	4.A.3.a.3.I10	4.A.3.a.3
4.A.3.a.3.I10.D02	Operate communications, transmissions, or broadcasting equipment.	Operate	Communications Transmissions Broadcasting Equipment	4.A.3.a.3.I10	4.A.3.a.3
4.A.3.a.3.I11.D01	Operate irrigation systems.	Operate	Irrigation Systems	4.A.3.a.3.I11	4.A.3.a.3
4.A.3.a.3.I11.D02	Operate forestry equipment.	Operate	Forestry Equipment	4.A.3.a.3.I11	4.A.3.a.3
4.A.3.a.3.I11.D03	Operate grounds maintenance equipment.	Operate	Grounds Maintenance Equipment	4.A.3.a.3.I11	4.A.3.a.3
4.A.3.a.3.I11.D04	Operate farming equipment.	Operate	Farming Equipment	4.A.3.a.3.I11	4.A.3.a.3
