dwaCode	title	action	object	iwaCode	workActivityCode
4.A.3.b.6.I12.D08	Prepare instruction manuals.	Prepare	Instruction Manuals	4.A.3.b.6.I12	4.A.3.b.6
4.A.3.b.6.I12.D09	Develop instructional materials.	Develop	Instructional Materials	4.A.3.b.6.I12	4.A.3.b.6
4.A.3.b.6.I12.D10	Develop training materials.	Develop	Training Materials	4.A.3.b.6.I12	4.A.3.b.6
4.A.3.b.6.I13.D01	Prepare sales or other contracts.	Prepare	Sales Contracts	4.A.3.b.6.I13	4.A.3.b.6
4.A.3.b.6.I13.D02	Prepare contracts or other transaction documents.	Prepare	Contracts Transaction Documents	4.A.3.b.6.I13	4.A.3.b.6
4.A.3.b.6.I13.D03	Prepare documentation for permits or licenses.	Prepare	Documentation Permits Licenses	4.A.3.b.6.I13	4.A.3.b.6
4.A.3.b.6.I13.D04	Prepare forms or applications.	Prepare	Forms Applications	4.A.3.b.6.I13	4.A.3.b.6
4.A.3.b.6.I13.D05	Prepare documentation for contracts, transactions, or regulatory compliance.	Prepare	Documentation Contracts Transactions Regulatory	4.A.3.b.6.I13	4.A.3.b.6
4.A.3.b.6.I13.D06	Prepare contracts, disclosures, or applications.	Prepare	Contracts Disclosures Applications	4.A.3.b.6.I13	4.A.3.b.6
4.A.3.b.6.I14.D01	Prepare legal or investigatory documentation.	Prepare	Legal Investigatory Documentation	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D02	Prepare reports related to compliance matters.	Prepare	Reports Related Compliance Matters	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D03	Maintain the order of legal documents.	Maintain	Order Legal Documents	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D04	Maintain regulatory or compliance documentation.	Maintain	Regulatory Compliance Documentation	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D05	Prepare regulatory or compliance documentation.	Prepare	Regulatory Compliance Documentation	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D06	Prepare information or documentation related to legal or regulatory matters.	Prepare	Information Documentation Related Legal	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D07	Complete documentation required by programs or regulations.	Complete	Documentation Required Programs Regulations	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D08	Document legal or regulatory information.	Document	Legal Regulatory Information	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I14.D09	Prepare legal documents.	Prepare	Legal Documents	4.A.3.b.6.I14	4.A.3.b.6
4.A.3.b.6.I15.D01	Prepare operational reports or records.	Prepare	Operational Reports Records	4.A.3.b.6.I15	4.A.3.b.6
4.A.3.b.6.I15.D02	Prepare reports detailing student activities or performance.	Prepare	Reports Detailing Student Activities	4.A.3.b.6.I15	4.A.3.b.6
4.A.3.b.6.I15.D03	Prepare accident or incident reports.	Prepare	Accident Incident Reports	4.A.3.b.6.I15	4.A.3.b.6
4.A.3.b.6.I15.D04	Prepare operational reports.	Prepare	Operational Reports	4.A.3.b.6.I15	4.A.3.b.6
4.A.3.b.6.I15.D05	Write operational reports.	Write	Operational Reports	4.A.3.b.6.I15	4.A.3.b.6
4.A.3.b.6.I15.D06	Prepare operational progress or status reports.	Prepare	Operational Progress Status Reports	4.A.3.b.6.I15	4.A.3.b.6
4.A.3.b.6.I16.D01	Write articles, books or other original materials in area of expertise.	Write	Articles Books Original Materials	4.A.3.b.6.I16	4.A.3.b.6
4.A.3.b.6.I16.D02	Write material for artistic or entertainment purposes.	Write	Material Artistic Entertainment Purposes	4.A.3.b.6.I16	4.A.3.b.6
4.A.3.b.6.I16.D03	Write advertising or promotional material.	Write	Advertising Promotional Material	4.A.3.b.6.I16	4.A.3.b.6
4.A.4.a.1.I01.D01	Present work to clients for approval.	Present	Work Clients Approval	4.A.4.a.1.I01	4.A.4.a.1
4.A.4.a.1.I01.D02	Explain use of products or services.	Explain	Use Products Services	4.A.4.a.1.I01	4.A.4.a.1
4.A.4.a.1.I01.D03	Discuss goods or services information with customers or patrons.	Discuss	Goods Services Information Customers	4.A.4.a.1.I01	4.A.4.a.1
4.A.4.a.1.I01.D04	Explain engineering drawings, specifications, or other technical information.	Explain	Engineering Drawings Specifications Technical	4.A.4.a.1.I01	4.A.4.a.1
4.A.4.a.1.I01.D05	Explain technical product or service information to customers.	Explain	Technical Product Service Information	4.A.4.a.1.I01	4.A.4.a.1
4.A.4.a.1.I01.D06	Provide information about landscaping services or costs.	Provide	Information About Landscaping Services	4.A.4.a.1.I01	4.A.4.a.1
4.A.4.a.1.I02.D01	Inform others about laws or regulations.	Inform	Others About Laws Regulations	4.A.4.a.1.I02	4.A.4.a.1
4.A.4.a.1.I02.D02	Inform the public about policies, services or procedures.	Inform	Public About Policies Services	4.A.4.a.1.I02	4.A.4.a.1
4.A.4.a.1.I02.D03	Communicate organizational policies and procedures.	Communicate	Organizational Policies Procedures	4.A.4.a.1.I02	4.A.4.a.1
4.A.4.a.1.I02.D04	Explain regulations, policies, or procedures.	Explain	Regulations Policies Procedures	4.A.4.a.1.I02	4.A.4.a.1
4.A.4.a.1.I02.D05	Communicate organizational information to customers or other stakeholders.	Communicate	Organizational Information Customers Stakeholders	4.A.4.a.1.I02	4.A.4.a.1
4.A.4.a.1.I02.D06	Communicate with clients about products, procedures, and policies.	Communicate	Clients About Products Procedures	4.A.4.a.1.I02	4.A.4.a.1
4.A.4.a.1.I03.D01	Translate information for others.	Translate	Information Others	4.A.4.a.1.I03	4.A.4.a.1
4.A.4.a.1.I03.D02	Interpret cultural or religious information for others.	Interpret	Cultural Religious Information Others	4.A.4.a.1.I03	4.A.4.a.1
4.A.4.a.1.I04.D01	Educate clients on financial planning topics.	Educate	Clients Financial Planning Topics	4.A.4.a.1.I04	4.A.4.a.1
4.A.4.a.1.I04.D02	Interpret financial information for others.	Interpret	Financial Information Others	4.A.4.a.1.I04	4.A.4.a.1
4.A.4.a.1.I04.D03	Explain financial information to customers.	Explain	Financial Information Customers	4.A.4.a.1.I04	4.A.4.a.1
4.A.4.a.1.I05.D01	Communicate detailed medical information to patients or family members.	Communicate	Detailed Medical Information Patients	4.A.4.a.1.I05	4.A.4.a.1
4.A.4.a.1.I05.D02	Confer with family members to discuss client treatment plans or progress.	Confer	Family Members Discuss Client	4.A.4.a.1.I05	4.A.4.a.1
4.A.4.a.1.I05.D03	Confer with clients to discuss treatment plans or progress.	Confer	Clients Discuss Treatment Plans	4.A.4.a.1.I05	4.A.4.a.1
4.A.4.a.1.I05.D04	Explain technical medical information to patients.	Explain	Technical Medical Information Patients	4.A.4.a.1.I05	4.A.4.a.1
4.A.4.a.1.I05.D05	Explain medical procedures or test results to patients or family members.	Explain	Medical Procedures Test Results	4.A.4.a.1.I05	4.A.4.a.1
4.A.4.a.2.I01.D01	Communicate with the public on environmental issues.	Communicate	Public Environmental Issues	4.A.4.a.2.I01	4.A.4.a.2
4.A.4.a.2.I01.D02	Communicate green energy production information.	Communicate	Green Energy Production Information	4.A.4.a.2.I01	4.A.4.a.2
