dwaCode	title	action	object	iwaCode	workActivityCode
4.A.4.b.4.I12.D01	Direct operational or production activities.	Direct	Operational Production Activities	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D02	Direct environmental development activities.	Direct	Environmental Development Activities	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D03	Direct sales, marketing, or customer service activities.	Direct	Sales Marketing Customer Service	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D04	Direct equipment maintenance or repair activities.	Direct	Equipment Maintenance Repair Activities	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D05	Coordinate sales campaigns.	Coordinate	Sales Campaigns	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D06	Direct funeral or mortuary activities.	Direct	Funeral Mortuary Activities	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D07	Manage environmental sustainability projects.	Manage	Environmental Sustainability Projects	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D08	Oversee business processes.	Oversee	Business Processes	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D09	Coordinate logistics or other business operations.	Coordinate	Logistics Business Operations	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D10	Direct green energy production operations.	Direct	Green Energy Production Operations	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D11	Manage guest services.	Manage	Guest Services	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D12	Manage operations, research, or logistics projects.	Manage	Operations Research Logistics Projects	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D13	Coordinate activities of food service staff.	Coordinate	Activities Food Service Staff	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D14	Direct operations of correctional facilities.	Direct	Operations Correctional Facilities	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D15	Coordinate timing of food production activities.	Coordinate	Timing Food Production Activities	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D16	Coordinate shipping activities with external parties.	Coordinate	Shipping Activities External Parties	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D17	Direct administrative or support services.	Direct	Administrative Support Services	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D18	Manage operations of artistic or entertainment departments or organizations.	Manage	Operations Artistic Entertainment Departments	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D19	Coordinate activities of production personnel.	Coordinate	Activities Production Personnel	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D20	Coordinate logistics for productions or events.	Coordinate	Logistics Productions Events	4.A.4.b.4.I12	4.A.4.b.4
4.A.4.b.4.I12.D21	Direct maintenance or repair activities.	Direct	Maintenance Repair Activities	4.A.4.b.4.I12	4.A.4.b.4
